"class","min","max","range","crop"
1,-1,0,NA,"cocoa_harvestarea"
2,0,89.3,"0-89.3","cocoa_harvestarea"
3,89.3,231.1,"89.3-231.1","cocoa_harvestarea"
4,231.1,354.1,"231.1-354.1","cocoa_harvestarea"
5,354.1,627.5,"354.1-627.5","cocoa_harvestarea"
6,627.5,2193,"627.5-2193","cocoa_harvestarea"
1,-1,0,NA,"cashew_harvestarea"
2,0,5.5,"0-5.5","cashew_harvestarea"
3,5.5,10.4,"5.5-10.4","cashew_harvestarea"
4,10.4,17.6,"10.4-17.6","cashew_harvestarea"
5,17.6,29.6,"17.6-29.6","cashew_harvestarea"
6,29.6,250.9,"29.6-250.9","cashew_harvestarea"
1,-1,0,NA,"coconut_harvestarea"
2,0,0.3,"0-0.3","coconut_harvestarea"
3,0.3,0.8,"0.3-0.8","coconut_harvestarea"
4,0.8,4.2,"0.8-4.2","coconut_harvestarea"
5,4.2,13.7,"4.2-13.7","coconut_harvestarea"
6,13.7,1408.4,"13.7-1408.4","coconut_harvestarea"
1,-1,0,NA,"oilpalm_harvestarea"
2,0,1.6,"0-1.6","oilpalm_harvestarea"
3,1.6,16.2,"1.6-16.2","oilpalm_harvestarea"
4,16.2,53,"16.2-53","oilpalm_harvestarea"
5,53,136.3,"53-136.3","oilpalm_harvestarea"
6,136.3,1859.6,"136.3-1859.6","oilpalm_harvestarea"
1,-1,0,NA,"rubber_harvestarea"
2,0,2.2,"0-2.2","rubber_harvestarea"
3,2.2,4.2,"2.2-4.2","rubber_harvestarea"
4,4.2,7.1,"4.2-7.1","rubber_harvestarea"
5,7.1,11.8,"7.1-11.8","rubber_harvestarea"
6,11.8,67.6,"11.8-67.6","rubber_harvestarea"
1,-1,0,NA,"mango_harvestarea"
2,0,0.2,"0-0.2","mango_harvestarea"
3,0.2,0.4,"0.2-0.4","mango_harvestarea"
4,0.4,0.6,"0.4-0.6","mango_harvestarea"
5,0.6,1.2,"0.6-1.2","mango_harvestarea"
6,1.2,23,"1.2-23","mango_harvestarea"
